Model|R2 Score|MAE Score|Correctness|Vars|Dropping|MaeCV|Mae POST
Model 1| niestabilny numerycznie | e^{\frac{Effect of forex changes on cash - \overline{Effect of forex changes on cash}}{\sigma_{Effect of forex changes on cash}}}
Model 55| niestabilny numerycznie | e^{\frac{Operating Income - \overline{Operating Income}}{\sigma_{Operating Income}}}
Model 56| niestabilny numerycznie | Days Payables Outstanding^2
Model 57| niestabilny numerycznie | Weighted Average Shs Out^3
Model 58| niestabilny numerycznie | e^{\frac{Free Cash Flow margin - \overline{Free Cash Flow margin}}{\sigma_{Free Cash Flow margin}}}
Model 59| niestabilny numerycznie | EPS Growth
Model 60| niestabilny numerycznie | Graham Net-Net^3
Model 61| niestabilny numerycznie | freeCashFlowPerShare^2
Model 62| niestabilny numerycznie | companyEquityMultiplier
Model 63| niestabilny numerycznie | fixedAssetTurnover
Model 64| niestabilny numerycznie | e^{\frac{Other Liabilities - \overline{Other Liabilities}}{\sigma_{Other Liabilities}}}
Model 65| niestabilny numerycznie | e^{\frac{Interest Coverage - \overline{Interest Coverage}}{\sigma_{Interest Coverage}}}
Model 66| niestabilny numerycznie | e^{\frac{POCF ratio - \overline{POCF ratio}}{\sigma_{POCF ratio}}}
Model 67| niestabilny numerycznie | Earnings Yield
Model 68| niestabilny numerycznie | Total liabilities^2
Model 69| niestabilny numerycznie | Average Inventory^3
Model 70| niestabilny numerycznie | Total debt^2
Model 71| niestabilny numerycznie | Tangible Asset Value
Model 72| niestabilny numerycznie | e^{\frac{Average Inventory - \overline{Average Inventory}}{\sigma_{Average Inventory}}}
Model 73| niestabilny numerycznie | e^{\frac{Investing Cash flow - \overline{Investing Cash flow}}{\sigma_{Investing Cash flow}}}
Model 74| niestabilny numerycznie | e^{\frac{Average Receivables - \overline{Average Receivables}}{\sigma_{Average Receivables}}}
Model 75| niestabilny numerycznie | e^{\frac{Preferred Dividends - \overline{Preferred Dividends}}{\sigma_{Preferred Dividends}}}
Model 76| niestabilny numerycznie | e^{\frac{3Y Shareholders Equity Growth (per Share) - \overline{3Y Shareholders Equity Growth (per Share)}}{\sigma_{3Y Shareholders Equity Growth (per Share)}}}
Model 77| niestabilny numerycznie | Days Sales Outstanding^3
Model 78| niestabilny numerycznie | Dividends per Share Growth^2
Model 79| niestabilny numerycznie | Long-term debt^3
Model 80| niestabilny numerycznie | operatingCashFlowSalesRatio^3
Model 81| niestabilny numerycznie | cashPerShare
Model 82| niestabilny numerycznie | 3Y Net Income Growth (per Share)^2
Model 83| niestabilny numerycznie | returnOnEquity^3
Model 84| niestabilny numerycznie | e^{\frac{Stock-based compensation - \overline{Stock-based compensation}}{\sigma_{Stock-based compensation}}}
Model 85| niestabilny numerycznie | EPS Diluted Growth^3
Model 86| niestabilny numerycznie | Earnings Before Tax Margin^2
Model 87| niestabilny numerycznie | Tax Liabilities^2
Model 88| niestabilny numerycznie | Operating Expenses^3
Model 89| niestabilny numerycznie | e^{\frac{Earnings before Tax - \overline{Earnings before Tax}}{\sigma_{Earnings before Tax}}}
Model 90| niestabilny numerycznie | Interest Expense^2
Model 91| niestabilny numerycznie | Inventories
Model 92| niestabilny numerycznie | SG&A Expenses Growth^3
Model 93| niestabilny numerycznie | e^{\frac{Goodwill and Intangible Assets - \overline{Goodwill and Intangible Assets}}{\sigma_{Goodwill and Intangible Assets}}}
Model 94| niestabilny numerycznie | PFCF ratio^3
Model 95| niestabilny numerycznie | priceSalesRatio
Model 96| niestabilny numerycznie | payoutRatio
Model 97| niestabilny numerycznie | Capex per Share
Model 98| niestabilny numerycznie | SG&A Expenses Growth
Model 99| niestabilny numerycznie | Short-term debt
Model 100| niestabilny numerycznie | cashRatio
Model 101| niestabilny numerycznie | Inventory Turnover^3
Model 102| niestabilny numerycznie | quickRatio^3
Model 103| niestabilny numerycznie | Average Inventory^2
Model 104| niestabilny numerycznie | e^{\frac{Deferred revenue - \overline{Deferred revenue}}{\sigma_{Deferred revenue}}}
Model 105| niestabilny numerycznie | Average Payables^2
Model 106| niestabilny numerycznie | Cash and cash equivalents^2
Model 107| niestabilny numerycznie | EBITDA Margin^2
Model 108| niestabilny numerycznie | Book Value per Share Growth^3
Model 109| niestabilny numerycznie | e^{\frac{cashPerShare - \overline{cashPerShare}}{\sigma_{cashPerShare}}}
Model 110| niestabilny numerycznie | Receivables growth^3
Model 111| niestabilny numerycznie | Deferred revenue^3
Model 112| niestabilny numerycznie | Interest Debt per Share^2
Model 113| niestabilny numerycznie | e^{\frac{Intangibles to Total Assets - \overline{Intangibles to Total Assets}}{\sigma_{Intangibles to Total Assets}}}
Model 114| niestabilny numerycznie | ebitperRevenue^2
Model 115| niestabilny numerycznie | daysOfPayablesOutstanding
Model 116| niestabilny numerycznie | Effect of forex changes on cash^2
Model 117| niestabilny numerycznie | Stock-based compensation to Revenue
Model 118| niestabilny numerycznie | R&D to Revenue^2
Model 119| niestabilny numerycznie | e^{\frac{Communication Services - \overline{Communication Services}}{\sigma_{Communication Services}}}
Model 120| niestabilny numerycznie | priceToSalesRatio^3
Model 121| niestabilny numerycznie | Net Income^3
Model 122| niestabilny numerycznie | Inventories^3
Model 123| niestabilny numerycznie | Weighted Average Shs Out
Model 124| niestabilny numerycznie | Tax Liabilities^3
Model 125| niestabilny numerycznie | Invested Capital
Model 126| niestabilny numerycznie | EBIT^2
Model 127| niestabilny numerycznie | e^{\frac{currentRatio - \overline{currentRatio}}{\sigma_{currentRatio}}}
Model 128| niestabilny numerycznie | SG&A Expense^3
Model 129| niestabilny numerycznie | priceToFreeCashFlowsRatio^2
Model 130| niestabilny numerycznie | Cash per Share^3
Model 131| niestabilny numerycznie | Free Cash Flow
Model 132| niestabilny numerycznie | Debt to Equity
Model 133| niestabilny numerycznie | Financial Services
Model 134| niestabilny numerycznie | Consolidated Income^3
Model 135| niestabilny numerycznie | Retained earnings (deficit)
Model 136| niestabilny numerycznie | e^{\frac{Energy - \overline{Energy}}{\sigma_{Energy}}}
Model 137| niestabilny numerycznie | Weighted Average Shares Diluted Growth^3
Model 138| niestabilny numerycznie | inventoryTurnover
Model 139| niestabilny numerycznie | Net Profit Margin
Model 140| niestabilny numerycznie | Weighted Average Shares Diluted Growth
Model 141| niestabilny numerycznie | EPS Diluted^2
Model 142| niestabilny numerycznie | EBIT Growth
Model 143| niestabilny numerycznie | e^{\frac{operatingCashFlowPerShare - \overline{operatingCashFlowPerShare}}{\sigma_{operatingCashFlowPerShare}}}
Model 144| niestabilny numerycznie | Interest Debt per Share
Model 145| niestabilny numerycznie | e^{\frac{daysOfPayablesOutstanding - \overline{daysOfPayablesOutstanding}}{\sigma_{daysOfPayablesOutstanding}}}
Model 146| niestabilny numerycznie | Payables Turnover
Model 147| niestabilny numerycznie | Total current liabilities
Model 148| niestabilny numerycznie | Free Cash Flow margin
Model 149| niestabilny numerycznie | Gross Margin^3
Model 150| niestabilny numerycznie | e^{\frac{Weighted Average Shs Out - \overline{Weighted Average Shs Out}}{\sigma_{Weighted Average Shs Out}}}
Model 151| niestabilny numerycznie | 3Y Operating CF Growth (per Share)
Model 152| niestabilny numerycznie | Average Receivables^2
Model 153| niestabilny numerycznie | e^{\frac{Cash and cash equivalents - \overline{Cash and cash equivalents}}{\sigma_{Cash and cash equivalents}}}
Model 154| niestabilny numerycznie | priceToFreeCashFlowsRatio
Model 155| niestabilny numerycznie | EBIT
Model 156| niestabilny numerycznie | Book Value per Share Growth^2
Model 157| niestabilny numerycznie | e^{\frac{PFCF ratio - \overline{PFCF ratio}}{\sigma_{PFCF ratio}}}
Model 158| niestabilny numerycznie | Intangibles to Total Assets
Model 159| niestabilny numerycznie | e^{\frac{Investments - \overline{Investments}}{\sigma_{Investments}}}
Model 160| niestabilny numerycznie | currentRatio
Model 161| niestabilny numerycznie | Property, Plant & Equipment Net^2
Model 162| niestabilny numerycznie | daysOfInventoryOutstanding
Model 163| niestabilny numerycznie | Net Cash/Marketcap^3
Model 164| niestabilny numerycznie | e^{\frac{daysOfSalesOutstanding - \overline{daysOfSalesOutstanding}}{\sigma_{daysOfSalesOutstanding}}}
Model 165| niestabilny numerycznie | Income Quality^3
Model 166| niestabilny numerycznie | e^{\frac{Weighted Average Shs Out (Dil) - \overline{Weighted Average Shs Out (Dil)}}{\sigma_{Weighted Average Shs Out (Dil)}}}
Model 167| niestabilny numerycznie | priceFairValue
Model 168| niestabilny numerycznie | Weighted Average Shares Growth^2
Model 169| niestabilny numerycznie | Average Payables^3
Model 170| niestabilny numerycznie | Total liabilities
Model 171| niestabilny numerycznie | Net Current Asset Value
Model 172| niestabilny numerycznie | e^{\frac{Free Cash Flow per Share - \overline{Free Cash Flow per Share}}{\sigma_{Free Cash Flow per Share}}}
Model 173| niestabilny numerycznie | e^{\frac{Net Profit Margin - \overline{Net Profit Margin}}{\sigma_{Net Profit Margin}}}
Model 174| niestabilny numerycznie | e^{\frac{Depreciation & Amortization - \overline{Depreciation & Amortization}}{\sigma_{Depreciation & Amortization}}}
Model 175| niestabilny numerycznie | e^{\frac{totalDebtToCapitalization - \overline{totalDebtToCapitalization}}{\sigma_{totalDebtToCapitalization}}}
Model 176| niestabilny numerycznie | e^{\frac{Payables Turnover - \overline{Payables Turnover}}{\sigma_{Payables Turnover}}}
Model 177| niestabilny numerycznie | Net Income Com^2
Model 178| niestabilny numerycznie | e^{\frac{Cash and short-term investments - \overline{Cash and short-term investments}}{\sigma_{Cash and short-term investments}}}
Model 179| niestabilny numerycznie | priceEarningsRatio
Model 180| niestabilny numerycznie | e^{\frac{Net Income - Non-Controlling int - \overline{Net Income - Non-Controlling int}}{\sigma_{Net Income - Non-Controlling int}}}
Model 181| niestabilny numerycznie | Net Income - Discontinued ops^3
Model 182| niestabilny numerycznie | daysOfInventoryOutstanding^2
Model 183| niestabilny numerycznie | e^{\frac{Healthcare - \overline{Healthcare}}{\sigma_{Healthcare}}}
Model 184| niestabilny numerycznie | Net Debt^3
Model 185| niestabilny numerycznie | Receivables growth
Model 186| niestabilny numerycznie | e^{\frac{Graham Net-Net - \overline{Graham Net-Net}}{\sigma_{Graham Net-Net}}}
Model 187| niestabilny numerycznie | Dividend per Share^2
Model 188| niestabilny numerycznie | Net Income Com
Model 189| niestabilny numerycznie | e^{\frac{EBIT Growth - \overline{EBIT Growth}}{\sigma_{EBIT Growth}}}
Model 190| niestabilny numerycznie | Debt to Assets^2
Model 191| niestabilny numerycznie | e^{\frac{Asset Growth - \overline{Asset Growth}}{\sigma_{Asset Growth}}}
Model 192| niestabilny numerycznie | netProfitMargin^2
Model 193| niestabilny numerycznie | e^{\frac{freeCashFlowPerShare - \overline{freeCashFlowPerShare}}{\sigma_{freeCashFlowPerShare}}}
Model 194| niestabilny numerycznie | Interest Debt per Share^3
Model 195| niestabilny numerycznie | Other Liabilities^3
Model 196| niestabilny numerycznie | Earnings before Tax^3
Model 197| niestabilny numerycznie | Net Income
Model 198| niestabilny numerycznie | ROE^2
Model 199| niestabilny numerycznie | Tangible Book Value per Share
Model 200| niestabilny numerycznie | daysOfPayablesOutstanding^3
Model 201| niestabilny numerycznie | Operating Cash Flow
Model 202| niestabilny numerycznie | Net Cash/Marketcap^2
Model 203| niestabilny numerycznie | Cost of Revenue^3
Model 204| niestabilny numerycznie | Investments^2
Model 205| niestabilny numerycznie | e^{\frac{3Y Operating CF Growth (per Share) - \overline{3Y Operating CF Growth (per Share)}}{\sigma_{3Y Operating CF Growth (per Share)}}}
Model 206| niestabilny numerycznie | e^{\frac{operatingCashFlowSalesRatio - \overline{operatingCashFlowSalesRatio}}{\sigma_{operatingCashFlowSalesRatio}}}
Model 207| niestabilny numerycznie | e^{\frac{priceSalesRatio - \overline{priceSalesRatio}}{\sigma_{priceSalesRatio}}}
Model 208| niestabilny numerycznie | Revenue per Share^3
Model 209| niestabilny numerycznie | Revenue Growth^3
Model 210| niestabilny numerycznie | e^{\frac{inventoryTurnover - \overline{inventoryTurnover}}{\sigma_{inventoryTurnover}}}
Model 211| niestabilny numerycznie | e^{\frac{Free Cash Flow Yield - \overline{Free Cash Flow Yield}}{\sigma_{Free Cash Flow Yield}}}
Model 212| niestabilny numerycznie | e^{\frac{Capex to Revenue - \overline{Capex to Revenue}}{\sigma_{Capex to Revenue}}}
Model 213| niestabilny numerycznie | Price to Sales Ratio
Model 214| niestabilny numerycznie | Cost of Revenue
Model 215| niestabilny numerycznie | e^{\frac{Receivables - \overline{Receivables}}{\sigma_{Receivables}}}
Model 216| niestabilny numerycznie | totalDebtToCapitalization^3
Model 217| niestabilny numerycznie | EPS^3
Model 218| niestabilny numerycznie | Energy
Model 219| niestabilny numerycznie | Inventory Growth
Model 220| niestabilny numerycznie | daysOfSalesOutstanding^3
Model 221| niestabilny numerycznie | e^{\frac{Other comprehensive income - \overline{Other comprehensive income}}{\sigma_{Other comprehensive income}}}
Model 222| niestabilny numerycznie | Receivables^2
Model 223| niestabilny numerycznie | e^{\frac{Book Value per Share - \overline{Book Value per Share}}{\sigma_{Book Value per Share}}}
Model 224| niestabilny numerycznie | e^{\frac{Gross Profit Growth - \overline{Gross Profit Growth}}{\sigma_{Gross Profit Growth}}}
Model 225| niestabilny numerycznie | cashPerShare^2
Model 226| niestabilny numerycznie | e^{\frac{priceFairValue - \overline{priceFairValue}}{\sigma_{priceFairValue}}}
Model 227| niestabilny numerycznie | EBIT Growth^2
Model 228| niestabilny numerycznie | Payables^3
Model 229| niestabilny numerycznie | EBITDA Margin
Model 230| niestabilny numerycznie | Tax assets^2
Model 231| niestabilny numerycznie | Operating Income Growth^2
Model 232| niestabilny numerycznie | Book Value per Share^3
Model 233| niestabilny numerycznie | ebitperRevenue^3
Model 234| niestabilny numerycznie | Total current liabilities^2
Model 235| niestabilny numerycznie | Payout Ratio^3
Model 236| niestabilny numerycznie | payoutRatio^3
Model 237| niestabilny numerycznie | Market Cap^2
Model 238| niestabilny numerycznie | Cash and short-term investments
Model 239| niestabilny numerycznie | Interest Coverage
Model 240| niestabilny numerycznie | Total shareholders equity^2
Model 241| niestabilny numerycznie | Deferred revenue
Model 242| niestabilny numerycznie | e^{\frac{R&D Expenses - \overline{R&D Expenses}}{\sigma_{R&D Expenses}}}
Model 243| niestabilny numerycznie | e^{\frac{PE ratio - \overline{PE ratio}}{\sigma_{PE ratio}}}
Model 244| niestabilny numerycznie | Free Cash Flow Yield
Model 245| niestabilny numerycznie | e^{\frac{Other Assets - \overline{Other Assets}}{\sigma_{Other Assets}}}
Model 246| niestabilny numerycznie | e^{\frac{priceToFreeCashFlowsRatio - \overline{priceToFreeCashFlowsRatio}}{\sigma_{priceToFreeCashFlowsRatio}}}
Model 247| niestabilny numerycznie | 3Y Operating CF Growth (per Share)^3
Model 248| niestabilny numerycznie | Issuance (buybacks) of shares^2
Model 249| niestabilny numerycznie | Asset Growth^3
Model 250| niestabilny numerycznie | returnOnEquity^2
Model 251| niestabilny numerycznie | daysOfInventoryOutstanding^3
Model 252| niestabilny numerycznie | Intangibles to Total Assets^2
Model 253| niestabilny numerycznie | Revenue
Model 254| niestabilny numerycznie | 3Y Dividend per Share Growth (per Share)^2
Model 255| niestabilny numerycznie | Earnings Before Tax Margin
Model 256| niestabilny numerycznie | Financing Cash Flow^3
Model 257| niestabilny numerycznie | EBIT Margin^3
Model 258| niestabilny numerycznie | Dividend per Share^3
Model 259| niestabilny numerycznie | e^{\frac{EPS Diluted Growth - \overline{EPS Diluted Growth}}{\sigma_{EPS Diluted Growth}}}
Model 260| niestabilny numerycznie | Investing Cash flow^2
Model 261| niestabilny numerycznie | Long-term investments
Model 262| niestabilny numerycznie | e^{\frac{Capex per Share - \overline{Capex per Share}}{\sigma_{Capex per Share}}}
Model 263| niestabilny numerycznie | Net Income Growth^3
Model 264| niestabilny numerycznie | Inventory Growth^3
Model 265| niestabilny numerycznie | Capex per Share^3
Model 266| niestabilny numerycznie | Deposit Liabilities^3
Model 267| niestabilny numerycznie | Net Income Growth
Model 268| niestabilny numerycznie | eBITperRevenue^3
Model 269| niestabilny numerycznie | dividendpaidAndCapexCoverageRatios^3
Model 270| niestabilny numerycznie | Issuance (repayment) of debt
Model 271| niestabilny numerycznie | Free Cash Flow growth^2
Model 272| niestabilny numerycznie | SG&A to Revenue^3
Model 273| niestabilny numerycznie | Net Income per Share
Model 274| niestabilny numerycznie | Income Tax Expense
Model 275| niestabilny numerycznie | e^{\frac{Tax Liabilities - \overline{Tax Liabilities}}{\sigma_{Tax Liabilities}}}
Model 276| niestabilny numerycznie | Earnings Yield^2
Model 277| niestabilny numerycznie | e^{\frac{Total shareholders equity - \overline{Total shareholders equity}}{\sigma_{Total shareholders equity}}}
Model 278| niestabilny numerycznie | Profit Margin^2
Model 279| niestabilny numerycznie | R&D Expenses
Model 280| niestabilny numerycznie | Industrials
Model 281| niestabilny numerycznie | Net Income - Discontinued ops
Model 282| niestabilny numerycznie | e^{\frac{Capex to Depreciation - \overline{Capex to Depreciation}}{\sigma_{Capex to Depreciation}}}
Model 283| niestabilny numerycznie | Days Payables Outstanding^3
Model 284| niestabilny numerycznie | SG&A Expense
Model 285| niestabilny numerycznie | 3Y Shareholders Equity Growth (per Share)^3
Model 286| niestabilny numerycznie | e^{\frac{Debt to Assets - \overline{Debt to Assets}}{\sigma_{Debt to Assets}}}
Model 287| niestabilny numerycznie | e^{\frac{payablesTurnover - \overline{payablesTurnover}}{\sigma_{payablesTurnover}}}
Model 288| niestabilny numerycznie | Revenue per Share^2
Model 289| niestabilny numerycznie | eBITperRevenue
Model 290| niestabilny numerycznie | 3Y Dividend per Share Growth (per Share)
Model 291| niestabilny numerycznie | Revenue per Share
Model 292| niestabilny numerycznie | Net Income per Share^2
Model 293| niestabilny numerycznie | POCF ratio^3
Model 294| niestabilny numerycznie | Consumer Cyclical
Model 295| niestabilny numerycznie | e^{\frac{EBITDA - \overline{EBITDA}}{\sigma_{EBITDA}}}
Model 296| niestabilny numerycznie | Weighted Average Shs Out (Dil)^2
Model 297| niestabilny numerycznie | Intangibles to Total Assets^3
Model 298| niestabilny numerycznie | 3Y Revenue Growth (per Share)
Model 299| niestabilny numerycznie | assetTurnover
Model 300| niestabilny numerycznie | e^{\frac{priceToOperatingCashFlowsRatio - \overline{priceToOperatingCashFlowsRatio}}{\sigma_{priceToOperatingCashFlowsRatio}}}
Model 301| niestabilny numerycznie | Other Assets^3
Model 302| niestabilny numerycznie | e^{\frac{Price to Sales Ratio - \overline{Price to Sales Ratio}}{\sigma_{Price to Sales Ratio}}}
Model 303| niestabilny numerycznie | Net cash flow / Change in cash
Model 304| niestabilny numerycznie | EBIT Margin
Model 305| niestabilny numerycznie | e^{\frac{Dividend per Share - \overline{Dividend per Share}}{\sigma_{Dividend per Share}}}
Model 306| niestabilny numerycznie | Free Cash Flow^3
Model 307| niestabilny numerycznie | Debt Growth^2
Model 308| niestabilny numerycznie | Inventory Growth^2
Model 309| niestabilny numerycznie | Cash per Share
Model 310| niestabilny numerycznie | e^{\frac{Net Income Com - \overline{Net Income Com}}{\sigma_{Net Income Com}}}
Model 311| niestabilny numerycznie | Dividend Yield
Model 312| niestabilny numerycznie | e^{\frac{Payout Ratio - \overline{Payout Ratio}}{\sigma_{Payout Ratio}}}
Model 313| niestabilny numerycznie | quickRatio^2
Model 314| niestabilny numerycznie | Payout Ratio^2
Model 315| niestabilny numerycznie | e^{\frac{Dividend Yield - \overline{Dividend Yield}}{\sigma_{Dividend Yield}}}
Model 316| niestabilny numerycznie | e^{\frac{Short-term debt - \overline{Short-term debt}}{\sigma_{Short-term debt}}}
Model 317| niestabilny numerycznie | Free Cash Flow per Share
Model 318| niestabilny numerycznie | Inventory Turnover
Model 319| niestabilny numerycznie | Free Cash Flow margin^2
Model 320| niestabilny numerycznie | Dividend per Share
Model 321| niestabilny numerycznie | Long-term debt
Model 322| niestabilny numerycznie | Payables
Model 323| niestabilny numerycznie | R&D Expenses^2
Model 324| niestabilny numerycznie | e^{\frac{Days Payables Outstanding - \overline{Days Payables Outstanding}}{\sigma_{Days Payables Outstanding}}}
Model 325| niestabilny numerycznie | Gross Margin^2
Model 326| niestabilny numerycznie | dividendpaidAndCapexCoverageRatios^2
Model 327| niestabilny numerycznie | Long-term investments^2
Model 328| niestabilny numerycznie | Other Liabilities^2
Model 329| niestabilny numerycznie | Book Value per Share^2
Model 330| niestabilny numerycznie | Tax Liabilities
Model 331| niestabilny numerycznie | Asset Growth^2
Model 332| niestabilny numerycznie | e^{\frac{EPS Growth - \overline{EPS Growth}}{\sigma_{EPS Growth}}}
Model 333| niestabilny numerycznie | Net Debt to EBITDA^3
Model 334| niestabilny numerycznie | Invested Capital^2
Model 335| niestabilny numerycznie | e^{\frac{quickRatio - \overline{quickRatio}}{\sigma_{quickRatio}}}
Model 336| niestabilny numerycznie | e^{\frac{Operating Cash Flow growth - \overline{Operating Cash Flow growth}}{\sigma_{Operating Cash Flow growth}}}
Model 337| niestabilny numerycznie | Tangible Asset Value^3
Model 338| niestabilny numerycznie | e^{\frac{pretaxProfitMargin - \overline{pretaxProfitMargin}}{\sigma_{pretaxProfitMargin}}}
Model 339| niestabilny numerycznie | Tangible Asset Value^2
Model 340| niestabilny numerycznie | priceToFreeCashFlowsRatio^3
Model 341| niestabilny numerycznie | Operating Cash Flow^2
Model 342| niestabilny numerycznie | capitalExpenditureCoverageRatios^2
Model 343| niestabilny numerycznie | Real Estate
Model 344| niestabilny numerycznie | e^{\frac{Operating Expenses - \overline{Operating Expenses}}{\sigma_{Operating Expenses}}}
Model 345| niestabilny numerycznie | Acquisitions and disposals^2
Model 346| niestabilny numerycznie | Debt to Assets^3
Model 347| niestabilny numerycznie | Inventories^2
Model 348| niestabilny numerycznie | Earnings before Tax
Model 349| niestabilny numerycznie | Days Sales Outstanding
Model 350| niestabilny numerycznie | Dividends per Share Growth
Model 351| niestabilny numerycznie | Net Profit Margin^3
Model 352| niestabilny numerycznie | Total liabilities^3
Model 353| niestabilny numerycznie | e^{\frac{Retained earnings (deficit) - \overline{Retained earnings (deficit)}}{\sigma_{Retained earnings (deficit)}}}
Model 354| niestabilny numerycznie | Investing Cash flow^3
Model 355| niestabilny numerycznie | SG&A Expenses Growth^2
Model 356| niestabilny numerycznie | debtEquityRatio
Model 357| niestabilny numerycznie | Total shareholders equity^3
Model 358| niestabilny numerycznie | e^{\frac{Days Sales Outstanding - \overline{Days Sales Outstanding}}{\sigma_{Days Sales Outstanding}}}
Model 359| niestabilny numerycznie | Tax assets
Model 360| niestabilny numerycznie | Total shareholders equity
Model 361| niestabilny numerycznie | Short-term investments^3
Model 362| niestabilny numerycznie | Consumer Defensive
Model 363| niestabilny numerycznie | 3Y Net Income Growth (per Share)
Model 364| niestabilny numerycznie | Capex to Operating Cash Flow^2
Model 365| niestabilny numerycznie | e^{\frac{Tax assets - \overline{Tax assets}}{\sigma_{Tax assets}}}
Model 366| niestabilny numerycznie | Issuance (buybacks) of shares^3
Model 367| niestabilny numerycznie | priceSalesRatio^2
Model 368| niestabilny numerycznie | Free Cash Flow Yield^3
Model 369| niestabilny numerycznie | Average Payables
Model 370| niestabilny numerycznie | e^{\frac{Payables - \overline{Payables}}{\sigma_{Payables}}}
Model 371| niestabilny numerycznie | Income Quality
Model 372| niestabilny numerycznie | companyEquityMultiplier^2
Model 373| niestabilny numerycznie | EBIT Margin^2
Model 374| niestabilny numerycznie | Other Liabilities
Model 375| niestabilny numerycznie | Deposit Liabilities^2
Model 376| niestabilny numerycznie | Gross Profit^3
Model 377| niestabilny numerycznie | POCF ratio^2
Model 378| niestabilny numerycznie | grossProfitMargin
Model 379| niestabilny numerycznie | e^{\frac{Deposit Liabilities - \overline{Deposit Liabilities}}{\sigma_{Deposit Liabilities}}}
Model 380| niestabilny numerycznie | e^{\frac{eBITperRevenue - \overline{eBITperRevenue}}{\sigma_{eBITperRevenue}}}
Model 381| niestabilny numerycznie | Acquisitions and disposals^3
Model 382| niestabilny numerycznie | Deferred revenue^2
